Peptides,GO-term,Name
128,GO:0016021,integral component of membrane
61,GO:0005737,cytoplasm
49,GO:0005886,plasma membrane
18,GO:0005634,nucleus
7,GO:0005615,extracellular space
6,GO:0016020,membrane
6,GO:0005840,ribosome
4,GO:0005739,mitochondrion
4,GO:0005783,endoplasmic reticulum
4,GO:0045095,keratin filament
3,GO:0000139,Golgi membrane
3,GO:0009279,cell outer membrane
3,GO:0032991,protein-containing complex
3,GO:0070062,extracellular exosome
3,GO:0005794,Golgi apparatus
3,GO:0001533,cornified envelope
2,GO:0005829,cytosol
2,GO:0005856,cytoskeleton
2,GO:0005789,endoplasmic reticulum membrane
2,GO:0005694,chromosome
2,GO:0005576,extracellular region
1,GO:0005730,nucleolus
1,GO:0005654,nucleoplasm
1,GO:0030687,"preribosome, large subunit precursor"
1,GO:0030677,ribonuclease P complex
1,GO:0044233,mitochondria-associated endoplasmic reticulum membrane
1,GO:0042597,periplasmic space
1,GO:0000178,exosome (RNase complex)
1,GO:0046930,pore complex
1,GO:0016592,mediator complex
1,GO:0030430,host cell cytoplasm
1,GO:0019012,virion component
1,GO:0010494,cytoplasmic stress granule
1,GO:0009289,pilus
1,GO:0005758,mitochondrial intermembrane space
1,GO:0005743,mitochondrial inner membrane
1,GO:0005802,trans-Golgi network
1,GO:0031982,vesicle
1,GO:0000781,"chromosome, telomeric region"
1,GO:0000446,nucleoplasmic THO complex
1,GO:0000445,THO complex part of transcription export complex
1,GO:0072669,tRNA-splicing ligase complex
1,GO:0031012,extracellular matrix
1,GO:0005667,transcription regulator complex
1,GO:0009376,HslUV protease complex
1,GO:0045261,"proton-transporting ATP synthase complex, catalytic core F(1)"
1,GO:0030014,CCR4-NOT complex
1,GO:0009358,polyphosphate kinase complex
1,GO:0008622,epsilon DNA polymerase complex
1,GO:0030424,axon
1,GO:0045202,synapse
1,GO:0005768,endosome
1,GO:0000124,SAGA complex
1,GO:0046695,SLIK (SAGA-like) complex
1,GO:0005669,transcription factor TFIID complex
1,GO:0019031,viral envelope
1,GO:0039626,viral intermediate capsid
1,GO:0045239,tricarboxylic acid cycle enzyme complex
1,GO:0016459,myosin complex
1,GO:0015934,large ribosomal subunit
1,GO:0019773,"proteasome core complex, alpha-subunit complex"
1,GO:0001518,voltage-gated sodium channel complex
1,GO:0030870,Mre11 complex
1,GO:0019867,outer membrane
1,GO:0009706,chloroplast inner membrane
1,GO:0031965,nuclear membrane
1,GO:0030867,rough endoplasmic reticulum membrane
