Peptides,GO-term,Name
42,GO:0016021,integral component of membrane
24,GO:0005737,cytoplasm
18,GO:0005886,plasma membrane
6,GO:0005615,extracellular space
6,GO:0005783,endoplasmic reticulum
4,GO:0070062,extracellular exosome
4,GO:0005794,Golgi apparatus
4,GO:0032991,protein-containing complex
3,GO:0016020,membrane
2,GO:0005789,endoplasmic reticulum membrane
2,GO:0005829,cytosol
2,GO:0005694,chromosome
2,GO:0005634,nucleus
2,GO:0016459,myosin complex
1,GO:0030430,host cell cytoplasm
1,GO:0019012,virion component
1,GO:0031012,extracellular matrix
1,GO:0045095,keratin filament
1,GO:0001533,cornified envelope
1,GO:0043231,intracellular membrane-bounded organelle
1,GO:0000178,exosome (RNase complex)
1,GO:0030426,growth cone
1,GO:0045202,synapse
1,GO:0030956,glutamyl-tRNA(Gln) amidotransferase complex
1,GO:0016035,zeta DNA polymerase complex
1,GO:0005576,extracellular region
1,GO:0005680,anaphase-promoting complex
1,GO:0042597,periplasmic space
