Peptides,GO-term,Name
52,GO:0016021,integral component of membrane
23,GO:0005737,cytoplasm
16,GO:0005886,plasma membrane
10,GO:0005615,extracellular space
8,GO:0005783,endoplasmic reticulum
8,GO:0005634,nucleus
5,GO:0016020,membrane
5,GO:0070062,extracellular exosome
4,GO:0005829,cytosol
4,GO:0005794,Golgi apparatus
4,GO:0032991,protein-containing complex
3,GO:0005789,endoplasmic reticulum membrane
3,GO:0045095,keratin filament
3,GO:0001533,cornified envelope
3,GO:0042597,periplasmic space
2,GO:0009279,cell outer membrane
2,GO:0015935,small ribosomal subunit
2,GO:0005576,extracellular region
2,GO:0005739,mitochondrion
2,GO:0005882,intermediate filament
2,GO:0005887,integral component of plasma membrane
1,GO:0043231,intracellular membrane-bounded organelle
1,GO:1902560,GMP reductase complex
1,GO:0009380,excinuclease repair complex
1,GO:0031463,Cul3-RING ubiquitin ligase complex
1,GO:0030131,clathrin adaptor complex
1,GO:0030015,CCR4-NOT core complex
1,GO:0005768,endosome
1,GO:0015934,large ribosomal subunit
1,GO:0005730,nucleolus
1,GO:0042788,polysomal ribosome
1,GO:0043190,ATP-binding cassette (ABC) transporter complex
1,GO:0005758,mitochondrial intermembrane space
1,GO:0071339,MLL1 complex
1,GO:0005840,ribosome
1,GO:0005815,microtubule organizing center
1,GO:0016282,eukaryotic 43S preinitiation complex
1,GO:0033290,eukaryotic 48S preinitiation complex
1,GO:0005852,eukaryotic translation initiation factor 3 complex
1,GO:0042555,MCM complex
1,GO:0009337,sulfite reductase complex (NADPH)
1,GO:0035658,Mon1-Ccz1 complex
1,GO:0009376,HslUV protease complex
