Peptides,GO-term,Name
25,GO:0016021,integral component of membrane
17,GO:0005737,cytoplasm
12,GO:0005886,plasma membrane
7,GO:0005634,nucleus
6,GO:0005615,extracellular space
4,GO:0005783,endoplasmic reticulum
4,GO:0005829,cytosol
3,GO:0005730,nucleolus
3,GO:0016020,membrane
3,GO:0005794,Golgi apparatus
3,GO:0005840,ribosome
2,GO:0045095,keratin filament
2,GO:0001533,cornified envelope
2,GO:0070062,extracellular exosome
2,GO:0032991,protein-containing complex
2,GO:1990077,primosome complex
1,GO:0005789,endoplasmic reticulum membrane
1,GO:0009279,cell outer membrane
1,GO:0072669,tRNA-splicing ligase complex
1,GO:0005654,nucleoplasm
1,GO:0034451,centriolar satellite
1,GO:0070469,respirasome
1,GO:0042995,cell projection
1,GO:0005874,microtubule
1,GO:0032039,integrator complex
1,GO:0015934,large ribosomal subunit
1,GO:0042788,polysomal ribosome
1,GO:0015935,small ribosomal subunit
1,GO:0005739,mitochondrion
1,GO:0010008,endosome membrane
1,GO:0000938,GARP complex
1,GO:0030008,TRAPP complex
1,GO:0005576,extracellular region
1,GO:0035098,ESC/E(Z) complex
1,GO:0043190,ATP-binding cassette (ABC) transporter complex
1,GO:0005743,mitochondrial inner membrane
1,GO:0005811,lipid droplet
1,GO:0009428,"bacterial-type flagellum basal body, distal rod, P ring"
