Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 584-TROCAS7-109-SMPCR_50%_GF75com1,Area 584-TROCAS7-109-SMPCR_50%_GF75com1,#Peptides,#Unique,#Spec 584-TROCAS7-109-SMPCR_50%_GF75com1,PTM,Avg. Mass,Description
1,2,gi|54036848,224.06,11,11,1.17E8,16,15,39,Deamidation (NQ),95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
5,1536,KNOT_14573911_PROKKA_604957,39.09,2,2,1.68E6,2,2,8,,74282,Polyphosphate kinase
18,1547,KNOT_4403361_PROKKA_299720,37.09,2,2,4.41E3,2,1,2,,43907,hypothetical protein
92,1549,KNOT_16829144_PROKKA_644084,32.69,2,2,0E0,1,1,1,,93454,Negative regulator of genetic competence ClpC/MecB
50,1537,KNOT_18640465_PROKKA_666734,32.18,6,6,0E0,1,1,1,Deamidation (NQ),38360,ATP-dependent DNA helicase UvrD2
93,1550,GROUPS_2654034_PROKKA_30119,29.65,6,6,6.38E4,1,1,1,,19355,hypothetical protein
4,1551,KNOT_6608724_PROKKA_375222,29.54,5,5,8.26E7,1,1,10,,16151,hypothetical protein
21,1554,KNOT_11443525_PROKKA_534238,29.23,5,5,4.13E6,1,1,2,,20159,Transcriptional repressor NrdR
94,1552,KNOT_22624473_PROKKA_735668,29.19,12,12,0E0,1,1,1,,8563,hypothetical protein
94,1553,KNOT_1309700_PROKKA_85723,29.19,10,10,0E0,1,1,1,,9949,hypothetical protein
95,1555,GROUPS_14578815_PROKKA_626733,29.17,5,5,4.46E5,1,1,1,Carbamidomethylation,16965,hypothetical protein
3,1559,GROUPS_9906940_PROKKA_250681,28.29,5,5,9.47E5,1,1,15,,15365,hypothetical protein
96,1556,GROUPS_16222627_PROKKA_707581,28.26,5,5,1.81E5,1,1,1,,16904,hypothetical protein
8,1557,KNOT_32538509_PROKKA_854302,28.10,6,6,2.13E7,1,1,4,,14490,hypothetical protein
8,1558,KNOT_32373984_PROKKA_848250,28.10,5,5,2.13E7,1,1,4,,16587,Acetyl-coenzyme A synthetase
22,1560,GROUPS_9925305_PROKKA_254397,27.57,6,6,2.78E6,1,1,2,,16439,hypothetical protein
97,1561,GROUPS_4071996_PROKKA_47794,26.79,3,3,1E5,1,1,1,,31417,hypothetical protein
7,194,KNOT_26993975_PROKKA_780216,26.66,1,1,5.51E4,1,1,7,,118725,hypothetical protein
98,1562,KNOT_1700271_PROKKA_113206,26.66,8,8,7.94E5,1,1,1,Deamidation (NQ),20034,hypothetical protein
11,1563,KNOT_5879241_PROKKA_348517,26.61,19,19,4.75E7,1,1,3,,4178,hypothetical protein
19,1590,KNOT_14542895_PROKKA_604292,26.58,9,9,4.36E4,2,2,2,,29148,hypothetical protein
99,1565,KNOT_202259_PROKKA_12950,26.00,3,3,7.16E5,1,1,1,,33933,hypothetical protein
99,1566,KNOT_14392755_PROKKA_600858,26.00,2,2,7.16E5,1,1,1,,38685,hypothetical protein
9,1568,GROUPS_5985869_PROKKA_80596,25.54,14,14,0E0,1,1,4,,5997,hypothetical protein
