Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-417-NMCP-DUP,Area Trocas7-417-NMCP-DUP,#Peptides,#Unique,#Spec Trocas7-417-NMCP-DUP,PTM,Avg. Mass,Description
33,30145,KNOT_4118408_PROKKA_282955,36.16,1,1,0E0,1,1,1,,67489,Photosystem I assembly protein Ycf3
14,2561,KNOT_4440374_PROKKA_301879,27.03,2,2,3.87E6,1,1,2,,41176,hypothetical protein
15,13433,KNOT_31997929_PROKKA_840066,25.70,2,2,2.89E5,1,1,2,,44671,hypothetical protein
15,13445,KNOT_15362894_PROKKA_623786,25.70,2,2,2.89E5,1,1,2,,57426,Carbamoyl-phosphate synthase large chain
16,2492,KNOT_11443525_PROKKA_534238,24.41,5,5,3.8E5,1,1,2,,20159,Transcriptional repressor NrdR
13,24837,GROUPS_14271391_PROKKA_610201,24.10,11,11,1.26E5,1,1,2,,7752,hypothetical protein
13,24834,KNOT_1686893_PROKKA_112240,24.10,1,1,1.26E5,1,1,2,,63214,putative CtpA-like serine protease
17,5192,KNOT_32907886_PROKKA_865059,24.01,5,5,1.82E5,1,1,2,Oxidation (M),20485,hypothetical protein
7,2481,KNOT_5879241_PROKKA_348517,23.34,19,19,4.9E7,1,1,4,,4178,hypothetical protein
24,30146,KNOT_34910290_PROKKA_886588,23.23,3,3,9.24E3,1,1,1,,27394,L-aspartate dehydrogenase
18,5535,KNOT_36228017_PROKKA_894267,22.75,5,5,7.3E5,1,1,2,,16127,hypothetical protein
11,24586,GROUPS_11360022_PROKKA_370087,21.55,4,4,4.86E4,1,1,3,,23236,hypothetical protein
36,30149,GROUPS_14160687_PROKKA_604136,21.45,9,9,3.13E4,1,1,1,,12068,hypothetical protein
37,2468,GROUPS_15470916_PROKKA_684871,21.25,2,2,1.16E5,1,1,1,,50910,hypothetical protein
12,4797,KNOT_14573911_PROKKA_604957,20.65,1,1,7.09E6,1,1,2,,74282,Polyphosphate kinase
12,4796,KNOT_2166087_PROKKA_146631,20.65,2,2,7.09E6,1,1,2,,37103,GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase
12,2544,KNOT_2519828_PROKKA_172943,20.65,1,1,7.09E6,1,1,2,,59890,Polyphosphate kinase
38,30150,KNOT_2964643_PROKKA_204820,20.41,13,13,1.48E5,1,1,1,,9237,30S ribosomal protein S4
38,30151,KNOT_1960789_PROKKA_131833,20.41,6,6,1.48E5,1,1,1,,20670,30S ribosomal protein S4
