Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-307-Chav,Area Trocas7-307-Chav,#Peptides,#Unique,#Spec Trocas7-307-Chav,PTM,Avg. Mass,Description
59,11980,KNOT_22093062_PROKKA_722722,32.64,2,2,1.11E5,1,1,1,,51279,UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2 6-diaminoheptandioate ligase
41,2469,KNOT_4594749_PROKKA_309394,32.05,3,3,2.72E5,1,1,1,,36417,hypothetical protein
3,31047,GROUPS_15185807_PROKKA_657961,28.31,5,5,5.15E6,1,1,14,Deamidation (NQ),24220,D-tagatose 3-epimerase
15,31049,GROUPS_14383041_PROKKA_615687,27.45,2,2,1.08E4,1,1,2,,36638,hypothetical protein
60,2492,KNOT_11443525_PROKKA_534238,27.23,5,5,2.45E5,1,1,1,,20159,Transcriptional repressor NrdR
61,31052,KNOT_14287288_PROKKA_598685,26.53,5,5,7.86E5,1,1,1,,22031,Sensor protein FixL
62,31053,KNOT_37406450_PROKKA_898939,26.48,2,2,2.36E5,1,1,1,,42340,Sporulation initiation inhibitor protein Soj
6,31059,GROUPS_6150366_PROKKA_83714,25.66,4,4,1.05E6,1,1,5,,20722,hypothetical protein
9,2481,KNOT_5879241_PROKKA_348517,24.51,19,19,3.36E7,1,1,4,,4178,hypothetical protein
10,4789,GROUPS_9140978_PROKKA_212107,24.12,7,7,9.27E7,1,1,4,,11453,hypothetical protein
63,4826,KNOT_3651020_PROKKA_253264,23.45,2,2,0E0,1,1,1,Deamidation (NQ),54224,hypothetical protein
2,2490,GROUPS_12124742_PROKKA_433805,22.86,15,15,5.83E6,1,1,24,,8063,hypothetical protein
44,31066,KNOT_9939091_PROKKA_490532,21.96,3,3,1.15E5,1,1,1,,32372,hypothetical protein
64,31067,GROUPS_12244270_PROKKA_438042,21.88,4,4,0E0,1,1,1,,20358,hypothetical protein
46,31069,GROUPS_5200989_PROKKA_61261,21.74,5,5,5.91E3,1,1,1,,20622,hypothetical protein
45,31068,KNOT_8009549_PROKKA_430449,21.73,18,18,8.31E3,1,1,1,,5892,hypothetical protein
92,31134,KNOT_18005296_PROKKA_658020,21.23,1,1,3.74E3,1,1,1,,99206,Ribosomal RNA large subunit methyltransferase E
12,2544,KNOT_2519828_PROKKA_172943,21.15,1,1,4.17E6,1,1,3,,59890,Polyphosphate kinase
12,4797,KNOT_14573911_PROKKA_604957,21.15,1,1,4.17E6,1,1,3,,74282,Polyphosphate kinase
12,4796,KNOT_2166087_PROKKA_146631,21.15,2,2,4.17E6,1,1,3,,37103,GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase
47,31073,KNOT_18284088_PROKKA_661656,20.72,5,5,3.12E4,1,1,1,,14858,hypothetical protein
67,31075,GROUPS_13782509_PROKKA_556568,20.24,12,12,4.9E4,1,1,1,,8117,hypothetical protein
17,23741,GROUPS_11395078_PROKKA_376968,20.17,17,17,4.17E5,1,1,2,,6577,hypothetical protein
48,31076,KNOT_1549804_PROKKA_102474,20.13,4,4,1.51E4,1,1,1,,23679,Sulfoxide reductase heme-binding subunit YedZ
