Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 6,Area Sample 6,#Peptides,#Unique,#Spec Sample 6,PTM,Avg. Mass,Description
3,5,AM_AGSSY_3962856_1,37.40,6,6,4.82E6,1,1,2,,13527,AM_AGSSY_3962856_1
3,4,AM_AGSSY_73454_1,37.40,1,1,4.82E6,1,1,2,,80372,AM_AGSSY_73454_1
17,3121,AM_AGSSY_2493310_1,29.21,4,4,1.37E4,1,1,1,,24064,AM_AGSSY_2493310_1
2,14,AM_AGSSY_4877884_1,26.66,9,9,6.34E6,1,1,3,,9706,AM_AGSSY_4877884_1
18,3127,AM_AGSSY_991053_1,25.95,4,4,0E0,1,1,1,,36639,AM_AGSSY_991053_1
19,1662,AM_AGSSY_1822544_1,25.20,3,3,5.92E6,1,1,1,,27222,AM_AGSSY_1822544_1
19,109,AM_AGSSY_1680574_1,25.20,3,3,5.92E6,1,1,1,,28807,AM_AGSSY_1680574_1
19,1663,AM_AGSSY_537075_1,25.20,2,2,5.92E6,1,1,1,,45531,AM_AGSSY_537075_1
20,3137,AM_AGSSY_4305672_1,23.20,8,8,4.79E3,1,1,1,,14272,AM_AGSSY_4305672_1
21,3142,AM_AGSSY_173095_1,21.17,2,2,3.98E3,1,1,1,,60190,AM_AGSSY_173095_1
22,3145,AM_AGSSY_4061948_1,20.62,7,7,2.13E4,1,1,1,,13723,AM_AGSSY_4061948_1
12,3150,AM_AGSSY_5717745_1,20.06,10,10,4.61E3,1,1,1,,6794,AM_AGSSY_5717745_1
12,3154,AM_AGSSY_3489166_1,20.06,4,4,4.61E3,1,1,1,,16583,AM_AGSSY_3489166_1
12,3156,AM_AGSSY_2948277_1,20.06,3,3,4.61E3,1,1,1,,20266,AM_AGSSY_2948277_1
12,3157,AM_AGSSY_1712591_1,20.06,2,2,4.61E3,1,1,1,,29181,AM_AGSSY_1712591_1
12,3159,AM_AGSSY_1160905_1,20.06,2,2,4.61E3,1,1,1,,33520,AM_AGSSY_1160905_1
23,3160,AM_AGSSY_5239521_1,18.15,13,13,7.86E2,1,1,1,,9253,AM_AGSSY_5239521_1
13,3161,AM_AGSSY_1142054_1,18.01,5,5,1.29E3,1,1,1,Carbamidomethylation; Deamidation (NQ),37828,AM_AGSSY_1142054_1
24,3162,AM_AGSSY_3824618_1,17.78,6,6,4.44E3,1,1,1,,15579,AM_AGSSY_3824618_1
24,3163,AM_AGSSY_3504688_1,17.78,5,5,4.44E3,1,1,1,,17363,AM_AGSSY_3504688_1
24,3164,AM_AGSSY_3508365_1,17.78,5,5,4.44E3,1,1,1,,17343,AM_AGSSY_3508365_1
24,3165,AM_AGSSY_3517516_1,17.78,5,5,4.44E3,1,1,1,,17219,AM_AGSSY_3517516_1
24,3166,AM_AGSSY_3501213_1,17.78,5,5,4.44E3,1,1,1,,17209,AM_AGSSY_3501213_1
