Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) H4_Dry_BSA,Coverage (%) H4_Dry_nospike,Coverage (%) H4_Wet_BSA,Coverage (%) H4_Wet_nospike,Coverage (%) H5_dry_BSA,Coverage (%) H5_Dry_nospike,Coverage (%) H5_Wet_BSA,Coverage (%) H5_Wet_nospike,Coverage (%) H6_Dry_BSA,Coverage (%) H6_Dry_nospike,Coverage (%) H6_Wet_BSA,Coverage (%) H6_Wet_nospike,Coverage (%) H4_Wet_BSA_smalldatabase,Area H4_Dry_BSA,Area H4_Dry_nospike,Area H4_Wet_BSA,Area H4_Wet_nospike,Area H5_dry_BSA,Area H5_Dry_nospike,Area H5_Wet_BSA,Area H5_Wet_nospike,Area H6_Dry_BSA,Area H6_Dry_nospike,Area H6_Wet_BSA,Area H6_Wet_nospike,Area H4_Wet_BSA_smalldatabase,#Peptides,#Unique,#Spec H4_Dry_BSA,#Spec H4_Dry_nospike,#Spec H4_Wet_BSA,#Spec H4_Wet_nospike,#Spec H5_dry_BSA,#Spec H5_Dry_nospike,#Spec H5_Wet_BSA,#Spec H5_Wet_nospike,#Spec H6_Dry_BSA,#Spec H6_Dry_nospike,#Spec H6_Wet_BSA,#Spec H6_Wet_nospike,#Spec H4_Wet_BSA_smalldatabase,PTM,Avg. Mass,Description
21,3,54036848,40.47,3,0,0,2,0,0,0,0,0,0,0,0,1,0,,,0E0,,,,,,,,,0E0,,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
15,46,KNOT_2020674,39.41,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0E0,,,0E0,,,,,,,,,,3,2,1,0,0,1,0,0,0,0,0,0,1,0,0,,85575,30S ribosomal protein S1
47,44,KNOT_3284430,39.09,21,12,0,0,0,0,9,0,0,0,0,0,0,0,0E0,,,,,,,,,,,,,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,6009,hypothetical protein
76,140,KNOT_36082430,38.81,6,0,4,0,0,0,0,0,0,0,6,0,0,0,,0E0,,,,,,,,0E0,,,,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,Carbamidomethylation; Oxidation (M),17461,hypothetical protein
45,28,KNOT_31603234,38.32,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,0E0,,,,,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,,119364,hypothetical protein
72,54,KNOT_549185,37.30,3,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,,,0E0,,,0E0,,,,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,Oxidation (M),41470,hypothetical protein
18,6,KNOT_166816,35.39,6,3,0,0,0,0,0,0,0,0,3,0,0,0,0E0,,,,,,,,,0E0,,,,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,Carbamidomethylation,56588,Heme-binding protein A
96,888,KNOT_178783,35.34,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0E0,,,,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,,156113,hypothetical protein
294,408,KNOT_22013062,35.18,10,0,0,0,0,0,0,0,0,0,10,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,10277,hypothetical protein
89,440,KNOT_23951005,34.91,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,,72719,Peptidoglycan endopeptidase RipA
10,24,KNOT_1311407,34.79,4,0,0,0,0,0,2,0,0,0,2,2,0,0,,,,,,0E0,,,,,0E0,,,2,2,0,0,0,0,0,1,0,0,0,1,1,0,0,,33523,Autoinducer 2 sensor kinase/phosphatase LuxQ
56,213,KNOT_32337864,34.39,6,0,0,0,0,2,0,0,0,0,4,0,0,0,,,,,,,,,,0E0,,,,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Oxidation (M),23507,hypothetical protein
46,37,KNOT_393252,34.34,8,0,0,0,0,0,4,0,0,0,5,0,0,0,,,,,,0E0,,,,0E0,,,,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,,33882,(R)-phenoxypropionate/alpha-ketoglutarate-dioxygenase
73,102,KNOT_36946888,33.71,6,0,0,0,4,0,0,0,2,0,0,0,0,0,,,,0E0,,,,0E0,,,,,,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,,25005,hypothetical protein
87,427,KNOT_142206,33.70,7,0,0,0,0,0,0,0,0,0,0,6,2,0,,,,,,,,,,,0E0,0E0,,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,Oxidation (M),26415,Imidazolonepropionase
79,249,KNOT_9593364,33.26,11,0,0,0,0,0,0,0,0,0,11,0,0,0,,,,,,,,,,0E0,,,,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,,19047,Fatty acid oxidation complex subunit alpha
4,35,KNOT_24101388,33.14,5,0,0,0,0,0,0,0,0,1,0,4,0,0,,,,,,,,,,,0E0,,,3,2,0,0,0,0,0,0,0,0,1,0,2,0,0,Carbamidomethylation,79228,hypothetical protein
435,293,GROUPS_11218595,32.91,3,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,0E0,,,,,,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,26991,HTH-type transcriptional activator CmpR
93,672,KNOT_5357849,31.78,2,0,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,61691,hypothetical protein
422,92,KNOT_4807919,31.59,4,0,0,0,0,0,4,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),29864,hypothetical protein
30,45,KNOT_817695,31.06,3,0,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,43806,Putative undecaprenyl-phosphate N-acetylgalactosaminyl 1-phosphate transferase
28,9,GROUPS_7404743,30.90,3,0,0,0,0,1,0,0,1,0,0,0,0,0,,,,,0E0,,,0E0,,,,,,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,,50165,putative sulfoacetate transporter SauU
69,2515,KNOT_17607615,30.11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,103859,hypothetical protein
83,342,KNOT_4260668,30.02,2,0,0,0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,46850,Tryptophan biosynthesis protein TrpCF
