Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 576-TROCAS7-105-Chaves_50%_GF75com1,Area 576-TROCAS7-105-Chaves_50%_GF75com1,#Peptides,#Unique,#Spec 576-TROCAS7-105-Chaves_50%_GF75com1,PTM,Avg. Mass,Description
1,2,gi|54036848,152.02,10,10,7.81E6,8,8,24,Deamidation (NQ),95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
22,23554,KNOT_14745746_PROKKA_609036,31.95,5,5,1.33E5,1,1,1,,30469,hypothetical protein
48,23555,GROUPS_10974795_PROKKA_333662,31.39,9,9,1.15E4,1,1,1,,9881,hypothetical protein
48,23556,KNOT_6173456_PROKKA_358855,31.39,7,7,1.15E4,1,1,1,,11835,hypothetical protein
7,194,KNOT_26993975_PROKKA_780216,30.10,1,1,3.01E3,1,1,3,,118725,hypothetical protein
7,6343,KNOT_9446719_PROKKA_477530,30.10,8,8,3.01E3,1,1,3,,10430,hypothetical protein
7,6339,KNOT_15903844_PROKKA_633444,30.10,2,2,3.01E3,1,1,3,,34092,hypothetical protein
49,23557,KNOT_22093062_PROKKA_722722,27.76,2,2,2.1E6,1,1,1,,51279,UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2 6-diaminoheptandioate ligase
8,9047,KNOT_22106609_PROKKA_723204,27.75,3,3,2.17E5,1,1,3,,25032,hypothetical protein
8,9048,GROUPS_11412037_PROKKA_379987,27.75,3,3,2.17E5,1,1,3,,30031,Glutamate/gamma-aminobutyrate antiporter
12,22,GROUPS_12647683_PROKKA_470485,27.58,5,5,6.76E5,1,1,2,Deamidation (NQ),20562,hypothetical protein
50,23562,KNOT_19340321_PROKKA_676257,26.66,9,9,1.92E4,1,1,1,,8520,hypothetical protein
50,23563,KNOT_6875279_PROKKA_385516,26.66,8,8,1.92E4,1,1,1,,10375,hypothetical protein
50,23565,KNOT_2540611_PROKKA_174417,26.66,1,1,1.92E4,1,1,1,,67360,2-oxoglutarate oxidoreductase subunit KorA
51,1982,GROUPS_9140978_PROKKA_212107,26.50,7,7,2.23E7,1,1,1,,11453,hypothetical protein
52,23567,KNOT_2798130_PROKKA_193005,25.74,2,2,3.41E4,1,1,1,,62849,Soluble lytic murein transglycosylase
53,23569,KNOT_7414476_PROKKA_406921,25.42,3,3,0E0,1,1,1,,37058,hypothetical protein
54,23570,GROUPS_11759277_PROKKA_412965,25.32,8,8,1.62E5,1,1,1,,10182,hypothetical protein
55,23571,KNOT_2472060_PROKKA_169351,25.22,7,7,2.71E3,1,1,1,,23013,putative amino acid permease YhdG
56,12677,KNOT_17011806_PROKKA_645952,24.98,12,12,4.07E3,1,1,1,,12271,hypothetical protein
23,2173,KNOT_17326956_PROKKA_649639,24.90,15,15,7.22E4,1,1,1,,13042,hypothetical protein
57,23575,GROUPS_13653801_PROKKA_551737,24.23,7,7,0E0,1,1,1,,12820,60 kDa chaperonin 2
13,1563,KNOT_5879241_PROKKA_348517,24.13,19,19,3.47E7,1,1,2,,4178,hypothetical protein
19,23577,KNOT_3966324_PROKKA_273806,24.05,9,9,9.27E3,1,1,1,,11578,hypothetical protein
58,23628,KNOT_22098204_PROKKA_722895,23.46,1,1,2.34E5,1,1,1,,184089,Serine-aspartate repeat-containing protein D
25,23576,GROUPS_13911440_PROKKA_567822,23.19,3,3,1.02E5,1,1,1,,36379,hypothetical protein
26,23578,KNOT_19841183_PROKKA_683230,22.58,3,3,5.25E4,1,1,1,,43016,Alanine dehydrogenase
36,1665,KNOT_32205743_PROKKA_844625,22.54,0,0,2.78E5,1,1,1,,218690,hypothetical protein
63,20488,KNOT_3981268_PROKKA_274734,22.32,3,3,1.34E3,1,1,1,,24996,Ribosomal large subunit pseudouridine synthase B
61,23643,KNOT_7965524_PROKKA_428677,21.38,5,5,5.63E5,1,1,1,,18140,hypothetical protein
64,23650,KNOT_5313870_PROKKA_330236,21.20,3,3,7.56E5,1,1,1,,27605,hypothetical protein
6,23679,KNOT_6692962_PROKKA_378503,21.02,3,3,3.73E4,1,1,4,,24996,hypothetical protein
66,21651,GROUPS_15212567_PROKKA_661987,20.92,3,3,0E0,1,1,1,,28705,hypothetical protein
65,1960,GROUPS_14067386_PROKKA_594436,20.82,4,4,1.56E4,1,1,1,,20921,hypothetical protein
29,23585,KNOT_12515452_PROKKA_565417,20.28,6,6,0E0,1,1,1,,18173,hypothetical protein
67,23658,KNOT_21204118_PROKKA_702205,20.27,4,4,4.39E5,1,1,1,Deamidation (NQ),25214,3-oxoacyl-[acyl-carrier-protein] reductase FabG
69,23661,KNOT_32478571_PROKKA_852031,20.19,10,10,8.74E3,1,1,1,Carbamidomethylation,17325,ABC transporter ATP-binding protein uup
27,23582,KNOT_5435229_PROKKA_333972,20.12,4,4,0E0,1,1,1,,20658,hypothetical protein
32,23588,KNOT_893878_PROKKA_57636,20.00,7,7,0E0,1,1,1,Carbamidomethylation,19688,Regulatory protein RecX
