Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 588-TROCAS7-121-NMCPM_50%_GF75com1,Area 588-TROCAS7-121-NMCPM_50%_GF75com1,#Peptides,#Unique,#Spec 588-TROCAS7-121-NMCPM_50%_GF75com1,PTM,Avg. Mass,Description
1,2,gi|54036848,197.99,11,11,4.15E7,14,14,44,Deamidation (NQ),95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
39,4095,GROUPS_81879_PROKKA_01377,31.52,20,20,4.71E5,1,1,1,,7554,hypothetical protein
16,1560,GROUPS_9925305_PROKKA_254397,29.89,6,6,4.23E5,1,1,2,,16439,hypothetical protein
67,4099,GROUPS_6959998_PROKKA_105589,28.80,4,4,8.6E4,1,1,1,,19841,hypothetical protein
68,4100,KNOT_15162823_PROKKA_618933,28.72,7,7,5.37E5,1,1,1,,14668,Ribosome-binding factor A
68,4101,GROUPS_12319827_PROKKA_441638,28.72,3,3,5.37E5,1,1,1,,28378,hypothetical protein
5,4102,GROUPS_14331329_PROKKA_613305,28.60,14,14,1.02E7,1,1,5,Deamidation (NQ),12808,hypothetical protein
6,1536,KNOT_14573911_PROKKA_604957,28.43,2,2,1.07E6,2,2,4,,74282,Polyphosphate kinase
7,4092,KNOT_8217490_PROKKA_438452,28.30,13,13,3.23E4,1,1,3,Carbamidomethylation,6668,hypothetical protein
7,4093,KNOT_248008_PROKKA_16054,28.30,7,7,3.23E4,1,1,3,Carbamidomethylation,12274,hypothetical protein
69,4104,KNOT_15816766_PROKKA_631953,28.17,9,9,2.21E5,1,1,1,,13836,hypothetical protein
3,4108,GROUPS_14868716_PROKKA_635212,27.59,1,1,1.36E5,1,1,11,,59891,hypothetical protein
17,4107,GROUPS_12721432_PROKKA_485844,27.39,2,2,3.13E5,1,1,2,Deamidation (NQ),53353,Multidrug resistance protein MdtA
19,4148,KNOT_2270850_PROKKA_154424,27.08,14,14,0E0,2,2,2,,33857,Succinate dehydrogenase flavoprotein subunit
4,4112,KNOT_11806684_PROKKA_545486,26.40,3,3,4.49E5,1,1,6,,26383,hypothetical protein
18,1565,KNOT_202259_PROKKA_12950,25.72,3,3,1.29E6,1,1,2,,33933,hypothetical protein
18,1566,KNOT_14392755_PROKKA_600858,25.72,2,2,1.29E6,1,1,2,,38685,hypothetical protein
70,4203,KNOT_28588537_PROKKA_791562,24.79,1,1,0E0,1,1,1,,94893,Primosomal protein N'
57,4205,KNOT_3106724_PROKKA_214821,24.63,5,5,0E0,1,1,1,,20266,hypothetical protein
20,1563,KNOT_5879241_PROKKA_348517,24.56,19,19,7.9E7,1,1,2,,4178,hypothetical protein
71,4219,KNOT_6275602_PROKKA_362593,23.87,3,3,2.95E4,1,1,1,,32074,hypothetical protein
40,4146,KNOT_7316599_PROKKA_403136,23.74,6,6,1.83E5,1,1,1,,14056,hypothetical protein
40,4224,GROUPS_8553965_PROKKA_176591,23.74,5,5,1.83E5,1,1,1,,19381,hypothetical protein
10,2403,KNOT_1390389_PROKKA_91441,23.52,6,6,5.99E5,1,1,2,,20248,hypothetical protein
73,4242,GROUPS_12928306_PROKKA_511343,23.14,6,6,2.95E6,1,1,1,,15939,Putative hydrolase
74,1982,GROUPS_9140978_PROKKA_212107,22.50,7,7,2.58E4,1,1,1,,11453,hypothetical protein
75,4267,KNOT_458829_PROKKA_29526,22.27,4,4,0E0,1,1,1,,40412,hypothetical protein
58,1551,KNOT_6608724_PROKKA_375222,21.72,5,5,2.23E5,1,1,1,,16151,hypothetical protein
76,4284,KNOT_26016799_PROKKA_772511,21.71,9,9,0E0,1,1,1,,16675,hypothetical protein
77,4290,GROUPS_13444841_PROKKA_540177,21.59,2,2,4.51E5,1,1,1,Deamidation (NQ),44695,Tyrosine recombinase XerC
78,4295,KNOT_285781_PROKKA_18502,21.47,6,6,5.5E4,1,1,1,Deamidation (NQ),21056,Alginate biosynthesis sensor protein KinB
79,4300,KNOT_11672425_PROKKA_541385,21.26,8,8,7.2E4,1,1,1,,17104,DNA protection during starvation protein
81,1659,GROUPS_8837021_PROKKA_195284,21.02,6,6,1.54E5,1,1,1,,13199,hypothetical protein
81,4309,GROUPS_14138762_PROKKA_602262,21.02,4,4,1.54E5,1,1,1,,20327,Outer membrane lipoprotein Blc
15,1997,GROUPS_12769142_PROKKA_494028,20.71,11,11,3.54E3,1,1,2,,7142,hypothetical protein
15,2004,GROUPS_16179958_PROKKA_704558,20.71,3,3,3.54E3,1,1,2,,21252,hypothetical protein
43,1960,GROUPS_14067386_PROKKA_594436,20.61,4,4,6.18E4,1,1,1,,20921,hypothetical protein
82,4325,GROUPS_15002183_PROKKA_643254,20.56,2,2,1.53E4,1,1,1,,40648,Trigger factor
21,4326,KNOT_326258_PROKKA_21122,20.54,2,2,1.32E5,1,1,2,,34533,hypothetical protein
44,4152,KNOT_10329336_PROKKA_501267,20.17,1,1,0E0,1,1,1,Deamidation (NQ),137264,hypothetical protein
84,2213,GROUPS_8879763_PROKKA_198010,20.08,12,12,0E0,1,1,1,Carbamidomethylation; Deamidation (NQ),15445,hypothetical protein
11,4336,GROUPS_13274794_PROKKA_533838,20.05,7,7,4.46E4,1,1,2,,13241,Molybdopterin-synthase adenylyltransferase
42,4151,KNOT_34940726_PROKKA_886884,20.03,4,4,8.25E4,1,1,1,Deamidation (NQ),30559,Imidazolonepropionase
