Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 570-TROCAS7-201-Baylique_50%_GFFcom1_A,Area 570-TROCAS7-201-Baylique_50%_GFFcom1_A,#Peptides,#Unique,#Spec 570-TROCAS7-201-Baylique_50%_GFFcom1_A,PTM,Avg. Mass,Description
2,2,gi|54036848,104.21,7,7,1.53E6,4,4,7,Deamidation (NQ),95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
31,5,KNOT_14218523_PROKKA_597259,32.87,3,3,0E0,1,1,1,,25128,Peptide chain release factor 2
30,4,KNOT_32086570_PROKKA_842046,32.82,3,3,2.02E4,1,1,1,Deamidation (NQ),46083,hypothetical protein
13,9,KNOT_12902109_PROKKA_573788,29.63,2,2,0E0,1,1,1,,54899,L-aspartate oxidase
32,22,GROUPS_12647683_PROKKA_470485,29.18,5,5,1.42E6,1,1,1,Deamidation (NQ),20562,hypothetical protein
33,36,KNOT_31848174_PROKKA_836664,27.65,3,3,1.81E3,1,1,1,,31811,hypothetical protein
34,41,KNOT_12546691_PROKKA_566221,26.49,2,2,7.67E3,1,1,1,,74975,hypothetical protein
6,52,KNOT_25331120_PROKKA_766734,25.30,14,14,2.36E3,1,1,1,,8991,hypothetical protein
25,69,KNOT_4796725_PROKKA_314828,23.70,3,3,1.46E4,1,1,1,,28841,hypothetical protein
26,71,GROUPS_1345309_PROKKA_13057,23.69,4,4,1.42E3,1,1,1,,22238,hypothetical protein
35,79,GROUPS_9991997_PROKKA_266582,23.22,6,6,6.6E5,1,1,1,,19294,hypothetical protein
39,97,KNOT_10572024_PROKKA_508386,22.48,3,3,1.73E4,1,1,1,,23723,hypothetical protein
36,93,KNOT_3249952_PROKKA_225263,22.27,17,17,0E0,1,1,1,Oxidation (M),11522,hypothetical protein
45,117,KNOT_34003208_PROKKA_879073,21.88,1,1,0E0,1,1,1,,64656,hypothetical protein
41,103,KNOT_13254985_PROKKA_579318,21.70,5,5,0E0,1,1,1,Deamidation (NQ),25300,Maltodextrin glucosidase
14,10,KNOT_24001070_PROKKA_752658,21.31,1,1,0E0,1,1,1,,88487,GTP pyrophosphokinase
44,114,KNOT_31980800_PROKKA_839634,21.24,6,6,2.08E4,1,1,1,Carbamidomethylation,13451,hypothetical protein
43,108,KNOT_6935030_PROKKA_388012,21.12,6,6,0E0,1,1,1,Deamidation (NQ),33136,hypothetical protein
46,118,GROUPS_12664002_PROKKA_474114,20.91,6,6,2.07E5,1,1,1,,18467,hypothetical protein
3,122,GROUPS_5522831_PROKKA_70324,20.70,20,20,2.84E5,1,1,2,,9361,hypothetical protein
49,132,KNOT_31629573_PROKKA_831723,20.40,4,4,0E0,1,1,1,,19420,hypothetical protein
