Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-202-Bay,Area Trocas7-202-Bay,#Peptides,#Unique,#Spec Trocas7-202-Bay,PTM,Avg. Mass,Description
12,5276,GROUPS_12647683_PROKKA_470485,28.35,5,5,8.6E5,1,1,2,Deamidation (NQ),20562,hypothetical protein
14,2492,KNOT_11443525_PROKKA_534238,26.90,5,5,3.84E5,1,1,2,,20159,Transcriptional repressor NrdR
5,2481,KNOT_5879241_PROKKA_348517,26.76,19,19,4.47E7,1,1,5,,4178,hypothetical protein
3,4781,KNOT_238065_PROKKA_15437,26.64,1,1,6.99E5,1,1,7,,171606,putative diguanylate cyclase YegE
26,8983,GROUPS_10456763_PROKKA_306250,26.61,3,3,2.64E4,1,1,1,,27538,hypothetical protein
27,8984,KNOT_12923594_PROKKA_574138,25.70,11,11,4.43E5,1,1,1,Carbamidomethylation; Oxidation (M),8860,hypothetical protein
4,4789,GROUPS_9140978_PROKKA_212107,25.59,7,7,1.03E8,1,1,7,,11453,hypothetical protein
28,5202,GROUPS_14067386_PROKKA_594436,24.42,4,4,9.18E4,1,1,1,,20921,hypothetical protein
29,8985,KNOT_7216574_PROKKA_399218,23.97,7,7,2.78E4,1,1,1,,15385,hypothetical protein
22,4826,KNOT_3651020_PROKKA_253264,23.92,2,2,0E0,1,1,1,Deamidation (NQ),54224,hypothetical protein
30,8986,GROUPS_11465687_PROKKA_388925,22.95,4,4,2.1E5,1,1,1,,23435,hypothetical protein
6,2544,KNOT_2519828_PROKKA_172943,22.65,1,1,5.67E6,1,1,4,,59890,Polyphosphate kinase
6,4796,KNOT_2166087_PROKKA_146631,22.65,2,2,5.67E6,1,1,4,,37103,GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase
6,4797,KNOT_14573911_PROKKA_604957,22.65,1,1,5.67E6,1,1,4,,74282,Polyphosphate kinase
32,8988,KNOT_13380865_PROKKA_581282,22.24,5,5,0E0,1,1,1,Deamidation (NQ),35827,hypothetical protein
33,8989,KNOT_3045313_PROKKA_210421,21.90,5,5,1.43E4,1,1,1,,20332,hypothetical protein
34,2569,KNOT_3039615_PROKKA_210056,21.79,3,3,4.21E5,1,1,1,,30029,Ribosomal large subunit pseudouridine synthase D
13,8993,KNOT_8075899_PROKKA_432955,21.28,9,9,4.11E4,1,1,2,,9448,hypothetical protein
13,8994,GROUPS_10365589_PROKKA_300935,21.28,4,4,4.11E4,1,1,2,,22018,hypothetical protein
38,4787,KNOT_31944104_PROKKA_838750,20.62,11,11,0E0,1,1,1,,7681,hypothetical protein
38,4788,GROUPS_2663599_PROKKA_30233,20.62,3,3,0E0,1,1,1,,27686,3-deoxy-manno-octulosonate cytidylyltransferase
39,8315,KNOT_25183216_PROKKA_765248,20.34,7,7,3.78E4,1,1,1,,11198,Persistence and stress-resistance antitoxin PasI
39,8316,GROUPS_13912513_PROKKA_568106,20.34,3,3,3.78E4,1,1,1,,28112,hypothetical protein
39,8317,GROUPS_13900954_PROKKA_565296,20.34,3,3,3.78E4,1,1,1,,29601,hypothetical protein
40,2468,GROUPS_15470916_PROKKA_684871,20.26,2,2,2.79E4,1,1,1,,50910,hypothetical protein
