Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-303-Bay,Area Trocas7-303-Bay,#Peptides,#Unique,#Spec Trocas7-303-Bay,PTM,Avg. Mass,Description
12,2469,KNOT_4594749_PROKKA_309394,34.58,3,3,5.17E5,1,1,3,,36417,hypothetical protein
64,11980,KNOT_22093062_PROKKA_722722,33.28,2,2,3.46E5,1,1,1,,51279,UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2 6-diaminoheptandioate ligase
21,9969,GROUPS_13937284_PROKKA_573424,28.66,8,8,1.69E4,2,2,2,,22725,hypothetical protein
20,2492,KNOT_11443525_PROKKA_534238,28.02,5,5,6.47E5,1,1,2,,20159,Transcriptional repressor NrdR
8,4789,GROUPS_9140978_PROKKA_212107,27.03,7,7,9.61E7,1,1,4,,11453,hypothetical protein
18,7122,GROUPS_15462140_PROKKA_684432,26.42,3,3,3.31E5,1,1,2,,45712,hypothetical protein
65,11982,GROUPS_9013476_PROKKA_204595,25.95,4,4,1.82E5,1,1,1,,25793,hypothetical protein
66,11984,KNOT_3341672_PROKKA_231719,25.05,10,10,2.43E5,1,1,1,,9728,hypothetical protein
67,11985,GROUPS_13952032_PROKKA_576492,24.93,7,7,5.16E4,1,1,1,,12799,Amylosucrase
67,11986,KNOT_13393004_PROKKA_581521,24.93,3,3,5.16E4,1,1,1,,31532,Amylosucrase
67,11987,KNOT_10346772_PROKKA_501784,24.93,2,2,5.16E4,1,1,1,,51246,Amylosucrase
44,11981,KNOT_5198872_PROKKA_326633,24.91,1,1,1.62E4,1,1,1,,77083,hypothetical protein
9,2481,KNOT_5879241_PROKKA_348517,23.91,19,19,3.64E7,1,1,4,,4178,hypothetical protein
4,2490,GROUPS_12124742_PROKKA_433805,23.64,15,15,1.24E6,1,1,17,,8063,hypothetical protein
33,11988,KNOT_30712944_PROKKA_810316,23.35,16,16,6.28E3,1,1,1,,5001,hypothetical protein
33,11989,GROUPS_12900728_PROKKA_509513,23.35,5,5,6.28E3,1,1,1,,16019,hypothetical protein
33,11990,GROUPS_6963185_PROKKA_105855,23.35,4,4,6.28E3,1,1,1,,20387,Stress response protein NhaX
33,11991,KNOT_259946_PROKKA_16854,23.35,2,2,6.28E3,1,1,1,,35022,hypothetical protein
33,11992,KNOT_2259809_PROKKA_153605,23.35,2,2,6.28E3,1,1,1,,35845,hypothetical protein
68,3042,KNOT_1355959_PROKKA_88997,22.48,7,7,3.22E4,1,1,1,,17654,hypothetical protein
69,3070,KNOT_31446370_PROKKA_827297,22.48,1,1,3.23E4,1,1,1,Oxidation (M),90013,hypothetical protein
72,12001,KNOT_5581118_PROKKA_338676,21.16,13,13,4.04E5,1,1,1,,6536,hypothetical protein
73,12002,KNOT_2905070_PROKKA_200544,20.89,3,3,0E0,1,1,1,Deamidation (NQ),39165,hypothetical protein
7,5951,KNOT_6855810_PROKKA_384782,20.86,5,5,1.56E6,1,1,9,,18653,hypothetical protein
74,12004,GROUPS_7090835_PROKKA_113142,20.78,3,3,1.01E4,1,1,1,,38557,hypothetical protein
75,12005,KNOT_3961628_PROKKA_273495,20.76,9,9,0E0,1,1,1,,19992,2 3-bisphosphoglycerate-independent phosphoglycerate mutase
76,12008,GROUPS_9112677_PROKKA_210254,20.11,22,22,2.28E3,1,1,1,,7254,hypothetical protein
29,12009,GROUPS_13401951_PROKKA_538426,20.11,5,5,8.44E2,1,1,1,,17362,hypothetical protein
