Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-302-Bay-DUP,Area Trocas7-302-Bay-DUP,#Peptides,#Unique,#Spec Trocas7-302-Bay-DUP,PTM,Avg. Mass,Description
14,5276,GROUPS_12647683_PROKKA_470485,32.00,5,5,1.61E5,1,1,2,Deamidation (NQ),20562,hypothetical protein
15,23672,KNOT_4036266_PROKKA_278136,28.59,4,4,1.65E5,1,1,2,,36832,hypothetical protein
2,4789,GROUPS_9140978_PROKKA_212107,27.83,7,7,3.29E7,1,1,6,,11453,hypothetical protein
37,23677,KNOT_31401360_PROKKA_826286,24.58,9,9,1.34E4,1,1,1,,19315,putative transcriptional regulatory protein TcrX
6,2481,KNOT_5879241_PROKKA_348517,23.10,19,19,1.17E7,1,1,3,,4178,hypothetical protein
40,14556,KNOT_29726032_PROKKA_799506,22.61,5,5,5.19E4,1,1,1,,15758,3-oxoacyl-[acyl-carrier-protein] synthase 2
40,14819,KNOT_12836099_PROKKA_572768,22.61,5,5,5.19E4,1,1,1,,15751,3-oxoacyl-[acyl-carrier-protein] synthase 2
40,14820,KNOT_5847720_PROKKA_347557,22.61,5,5,5.19E4,1,1,1,,16474,3-oxoacyl-[acyl-carrier-protein] synthase 2
40,14822,GROUPS_9901789_PROKKA_249652,22.61,4,4,5.19E4,1,1,1,,19218,3-oxoacyl-[acyl-carrier-protein] synthase 2
40,14821,KNOT_6201773_PROKKA_359797,22.61,4,4,5.19E4,1,1,1,,19607,3-oxoacyl-[acyl-carrier-protein] synthase 2
21,4797,KNOT_14573911_PROKKA_604957,22.27,1,1,1.43E6,1,1,1,,74282,Polyphosphate kinase
21,4796,KNOT_2166087_PROKKA_146631,22.27,2,2,1.43E6,1,1,1,,37103,GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase
21,2544,KNOT_2519828_PROKKA_172943,22.27,1,1,1.43E6,1,1,1,,59890,Polyphosphate kinase
41,23682,GROUPS_13093622_PROKKA_521291,21.25,3,3,2.96E4,1,1,1,,39922,Thiol-disulfide oxidoreductase ResA
42,23683,GROUPS_8541875_PROKKA_174966,20.60,10,10,8.48E3,1,1,1,,7391,hypothetical protein
42,23684,KNOT_2247314_PROKKA_152657,20.60,9,9,8.48E3,1,1,1,,9047,hypothetical protein
42,23685,GROUPS_10534177_PROKKA_311610,20.60,7,7,8.48E3,1,1,1,,11816,hypothetical protein
42,23686,KNOT_3636637_PROKKA_252301,20.60,4,4,8.48E3,1,1,1,,16999,hypothetical protein
42,23687,GROUPS_14204990_PROKKA_606634,20.60,4,4,8.48E3,1,1,1,,17932,hypothetical protein
42,23689,KNOT_25202437_PROKKA_765468,20.60,3,3,8.48E3,1,1,1,,23977,Galactose-1-phosphate uridylyltransferase
42,23691,KNOT_3597267_PROKKA_249546,20.60,3,3,8.48E3,1,1,1,,30031,hypothetical protein
3,2545,GROUPS_10019017_PROKKA_271181,20.50,8,8,1.11E6,1,1,5,,15147,hypothetical protein
44,23690,GROUPS_9875403_PROKKA_244296,20.50,4,4,3.94E3,1,1,1,,22002,hypothetical protein
43,23688,KNOT_1752617_PROKKA_116883,20.17,3,3,2.76E4,1,1,1,,38280,hypothetical protein
17,3241,GROUPS_9108485_PROKKA_209966,20.00,4,4,2.68E4,1,1,1,,27843,Flagellum-specific ATP synthase
